Episode,Current_Epsilon,Score
1,0.995,-454
2,0.990025,-1418
3,0.985074875,-1072
4,0.9801495006250001,-938
5,0.9752487531218751,-1264
6,0.9703725093562657,-1326
7,0.9655206468094844,-624
8,0.960693043575437,-522
9,0.9558895783575597,-1418
10,0.9511101304657719,-484
11,0.946354579813443,-930
12,0.9416228069143757,-432
13,0.9369146928798039,-928
14,0.9322301194154049,-548
15,0.9275689688183278,-1416
16,0.9229311239742362,-942
17,0.918316468354365,-1344
18,0.9137248860125932,-484
19,0.9091562615825302,-950
20,0.9046104802746175,-564
21,0.9000874278732445,-958
22,0.8955869907338783,-470
23,0.8911090557802088,-494
24,0.8866535105013078,-912
25,0.8822202429488013,-940
26,0.8778091417340573,-480
27,0.8734200960253871,-810
28,0.8690529955452602,-558
29,0.8647077305675338,-1288
30,0.8603841919146962,-922
31,0.8560822709551227,-1048
32,0.851801859600347,-934
33,0.8475428503023453,-1230
34,0.8433051360508336,-570
35,0.8390886103705794,-1414
36,0.8348931673187264,-674
37,0.8307187014821328,-1404
38,0.8265651079747222,-946
39,0.8224322824348486,-1388
40,0.8183201210226743,-454
41,0.8142285204175609,-942
42,0.810157377815473,-1238
43,0.8061065909263957,-918
44,0.8020760579717637,-1420
45,0.798065677681905,-428
46,0.7940753492934954,-682
47,0.7901049725470279,-1418
48,0.7861544476842928,-452
49,0.7822236754458713,-916
50,0.778312557068642,-280
51,0.7744209942832988,-948
52,0.7705488893118823,-934
53,0.7666961448653229,-928
54,0.7628626641409962,-588
55,0.7590483508202912,-980
56,0.7552531090661897,-552
57,0.7514768435208588,-1024
58,0.7477194593032545,-1426
59,0.7439808620067382,-940
60,0.7402609576967045,-934
61,0.736559652908221,-468
62,0.7328768546436799,-772
63,0.7292124703704616,-1138
64,0.7255664080186093,-938
65,0.7219385759785162,-894
66,0.7183288830986236,-928
67,0.7147372386831305,-570
68,0.7111635524897149,-952
69,0.7076077347272662,-898
70,0.7040696960536299,-914
71,0.7005493475733617,-450
72,0.697046600835495,-718
73,0.6935613678313175,-972
74,0.6900935609921609,-488
75,0.6866430931872001,-1376
76,0.6832098777212641,-496
77,0.6797938283326578,-938
78,0.6763948591909945,-436
79,0.6730128848950395,-938
80,0.6696478204705644,-900
81,0.6662995813682115,-940
82,0.6629680834613705,-912
83,0.6596532430440636,-946
84,0.6563549768288433,-434
85,0.653073201944699,-482
86,0.6498078359349755,-578
87,0.6465587967553006,-1396
88,0.6433260027715241,-1402
89,0.6401093727576664,-420
90,0.6369088258938781,-924
91,0.6337242817644086,-970
92,0.6305556603555866,-1422
93,0.6274028820538087,-1182
94,0.6242658676435396,-526
95,0.6211445383053219,-934
96,0.6180388156137953,-458
97,0.6149486215357263,-934
98,0.6118738784280476,-908
99,0.6088145090359074,-908
100,0.6057704364907278,-928
101,0.6027415843082742,-1426
102,0.5997278763867329,-934
103,0.5967292370047992,-444
104,0.5937455908197752,-562
105,0.5907768628656763,-928
106,0.5878229785513479,-250
107,0.5848838636585911,-946
108,0.5819594443402982,-970
109,0.5790496471185967,-1410
110,0.5761543988830038,-904
111,0.5732736268885887,-548
112,0.5704072587541458,-482
113,0.567555222460375,-1424
114,0.5647174463480732,-918
115,0.5618938591163328,-438
116,0.5590843898207511,-432
117,0.5562889678716474,-446
118,0.5535075230322891,-1408
119,0.5507399854171277,-534
120,0.547986285490042,-932
121,0.5452463540625918,-950
122,0.5425201222922789,-634
123,0.5398075216808175,-476
124,0.5371084840724134,-548
125,0.5344229416520513,-544
126,0.531750826943791,-934
127,0.5290920728090721,-914
128,0.5264466124450268,-940
129,0.5238143793828016,-450
130,0.5211953074858876,-968
131,0.5185893309484582,-922
132,0.5159963842937159,-538
133,0.5134164023722473,-934
134,0.510849320360386,-682
135,0.5082950737585841,-448
136,0.5057535983897912,-420
137,0.5032248303978422,-940
138,0.500708706245853,-194
139,0.4982051627146237,-418
140,0.49571413690105054,-570
141,0.4932355662165453,-924
142,0.4907693883854626,-1206
143,0.4883155414435353,-452
144,0.4858739637363176,-974
145,0.483444593917636,-938
146,0.4810273709480478,-560
147,0.47862223409330756,-432
148,0.47622912292284103,-936
149,0.4738479773082268,-686
150,0.47147873742168567,-1296
151,0.46912134373457726,-442
152,0.46677573701590436,-562
153,0.46444185833082485,-548
154,0.46211964903917074,-1304
155,0.4598090507939749,-790
156,0.457510005540005,-566
157,0.45522245551230495,-464
158,0.4529463432347434,-682
159,0.4506816115185697,-944
160,0.4484282034609769,-436
161,0.446186062443672,-556
162,0.4439551321314536,-1380
163,0.4417353564707963,-934
164,0.43952667968844233,-444
165,0.43732904629000013,-944
166,0.4351424010585501,-562
167,0.43296668905325736,-912
168,0.43080185560799106,-1424
169,0.4286478463299511,-550
170,0.42650460709830135,-922
171,0.42437208406280985,-928
172,0.4222502236424958,-684
173,0.42013897252428334,-458
174,0.4180382776616619,-476
175,0.4159480862733536,-174
176,0.41386834584198684,-936
177,0.4117990041127769,-1422
178,0.40974000909221303,-676
179,0.40769130904675194,-562
180,0.40565285250151817,-442
