Episode,Current_Epsilon,Score
10,0.47555506523288593,22
20,0.4523052401373088,-58
30,0.4301920959573481,-56
40,0.40916006051133713,-40
50,0.389156278534321,44
60,0.37013047884835226,-68
70,0.35203484802681495,-104
80,0.3348239102352822,-36
90,0.31845441294693905,-102
100,0.3028852182453639,-26
110,0.2880771994415019,-50
120,0.273993142745021,-74
130,0.2605976537429438,-92
140,0.24785706845052527,22
150,0.23573936871084283,-52
160,0.22421410173048845,-50
170,0.21325230354915067,-36
180,0.20282642625075908,-48
190,0.19291026873326575,-28
200,0.18347891086308354,-104
210,0.17450865084870512,-18
220,0.16597694567611773,-68
230,0.1578623544563227,-60
240,0.15014448454258703,-72
250,0.142803940282016,-80
260,0.13582227427265453,-20
270,0.1291819410036223,-20
280,0.12286625276177685,0
290,0.11685933769409408,-20
300,0.11114609992037351,-62
310,0.10571218159602816,-80
320,0.1005439268296197,-50
330,0.0956283473644606,-84
340,0.09095308993803829,-48
350,0.08650640523723264,-78
360,0.08227711837130927,10
370,0.07825460078848372,16
380,0.07442874356548164,-10
390,0.07078993200296872,-54
400,0.0673290214630067,-80
410,0.06403731438781306,-78
420,0.06090653844207053,-48
430,0.05792882572385624,-78
440,0.05509669299194587,0
450,0.05240302285980221,-30
460,0.0498410459089873,6
470,0.04740432367704744,-62
480,0.04508673247711826,-78
490,0.042882448008587294,-52
500,0.04078593072013914,-22
510,0.03879191188839947,-12
520,0.03689538037719234,-48
530,0.03509157004413568,-16
540,0.03337594776292665,-10
550,0.03174420203121594,-48
560,0.030192232135441605,-78
570,0.02871613784539273,-48
580,0.02731220961260457,-22
590,0.025976919247952843,16
600,0.02470691105501925,-76
610,0.023498993396945587,-76
620,0.02235013067558323,-80
630,0.02125743570278102,12
640,0.020218162444639816,-76
650,0.019229699120499544,-76
660,0.018289561639315863,14
670,0.01739538735693148,50
680,0.01654492913855374,-78
690,0.015736049711516795,-32
700,0.014966716294136607,12
710,0.014234995487160458,-78
720,0.013539048414972854,-22
730,0.012877126104347231,-48
740,0.01224756508912989,-76
750,0.011648783229810361,-18
760,0.011079275737472428,-16
770,0.010537611392133663,-48
780,0.010022428945969851,-26
790,0.009532433702385313,-60
800,0.009066394262332014,-30
810,0.008623139429700725,-48
820,0.0082015552680072,-76
830,0.007800582300976567,24
840,0.0074192128499908135,-52
850,0.007056488501708094,-48
860,0.006711497699489804,-18
870,0.0063833734525824744,-20
880,0.006071291157297462,-52
890,0.005774466524712875,-52
900,0.005492153609689895,-30
910,0.005223642936250217,-32
920,0.004968259714603552,-60
930,0.004725362145344423,-48
940,0.004494339806556552,-58
950,0.004274612119771515,0
960,0.004065626890926456,-10
970,0.0038668589226542108,-18
980,0.00367780869441838,-48
990,0.003498001107176415,12
