Episode,Current_Epsilon,Score
10,0.9511101304657719,-1166
20,0.9046104802746175,-938
30,0.8603841919146962,-496
40,0.8183201210226743,-500
50,0.778312557068642,-560
60,0.7402609576967045,-648
70,0.7040696960536299,-248
80,0.6696478204705644,-1400
90,0.6369088258938781,-470
100,0.6057704364907278,-930
110,0.5761543988830038,-544
120,0.547986285490042,-936
130,0.5211953074858876,-1286
140,0.49571413690105054,-942
150,0.47147873742168567,-486
160,0.4484282034609769,-958
170,0.42650460709830135,-560
180,0.40565285250151817,-1344
190,0.3858205374665315,-636
200,0.3669578217261671,-678
210,0.34901730169741024,-922
220,0.33195389135223546,-678
230,0.3157247089126454,-596
240,0.30028896908517405,-190
250,0.285607880564032,-506
260,0.27164454854530906,-938
270,0.2583638820072446,-570
280,0.2457325055235537,-946
290,0.23371867538818816,-882
300,0.22229219984074702,-154
310,0.21142436319205632,-938
320,0.2010878536592394,-544
330,0.1912566947289212,-936
340,0.18190617987607657,-568
350,0.1730128104744653,-922
360,0.16455423674261854,-426
370,0.15650920157696743,-952
380,0.14885748713096328,-1192
390,0.14157986400593744,-474
400,0.1346580429260134,-952
410,0.12807462877562611,-472
420,0.12181307688414106,-436
430,0.11585765144771248,-488
440,0.11019338598389174,-250
450,0.10480604571960442,-474
460,0.1,-932
470,0.1,-438
480,0.1,-932
490,0.1,-1418
500,0.1,-486
510,0.1,-488
520,0.1,-928
530,0.1,-436
540,0.1,-422
550,0.1,-542
560,0.1,-452
570,0.1,-550
580,0.1,-938
590,0.1,-542
600,0.1,-938
610,0.1,-922
620,0.1,-424
630,0.1,-438
640,0.1,-470
650,0.1,-878
660,0.1,-446
670,0.1,-554
680,0.1,-450
690,0.1,-496
700,0.1,-386
710,0.1,-458
720,0.1,-366
730,0.1,-926
740,0.1,-192
750,0.1,-452
760,0.1,-444
770,0.1,-452
780,0.1,-418
790,0.1,-928
800,0.1,-568
810,0.1,-488
820,0.1,-638
830,0.1,-40
840,0.1,-512
850,0.1,-422
860,0.1,-926
870,0.1,-942
880,0.1,-550
890,0.1,-958
900,0.1,2
910,0.1,-934
920,0.1,-926
930,0.1,-470
940,0.1,-546
950,0.1,-482
960,0.1,-58
970,0.1,-466
980,0.1,-932
990,0.1,-472
1000,0.1,-906
1010,0.1,-452
1020,0.1,-506
1030,0.1,-456
1040,0.1,-452
1050,0.1,-616
1060,0.1,-980
1070,0.1,-940
1080,0.1,-880
1090,0.1,-430
1100,0.1,-966
1110,0.1,-430
1120,0.1,-918
1130,0.1,-484
1140,0.1,-926
1150,0.1,-936
1160,0.1,-380
1170,0.1,-662
1180,0.1,-554
1190,0.1,-940
1200,0.1,-930
1210,0.1,-928
1220,0.1,-930
1230,0.1,-928
1240,0.1,-456
1250,0.1,-930
1260,0.1,-482
1270,0.1,-484
1280,0.1,-934
1290,0.1,-480
1300,0.1,-414
1310,0.1,-426
1320,0.1,-550
1330,0.1,-458
1340,0.1,-466
1350,0.1,-564
1360,0.1,-446
1370,0.1,-472
1380,0.1,-458
1390,0.1,-918
1400,0.1,-448
1410,0.1,-874
1420,0.1,-488
1430,0.1,-488
1440,0.1,-458
1450,0.1,-440
1460,0.1,-938
1470,0.1,-422
1480,0.1,-1422
1490,0.1,-466
1500,0.1,-444
1510,0.1,-946
1520,0.1,-452
1530,0.1,-500
1540,0.1,-660
1550,0.1,-552
1560,0.1,-560
1570,0.1,-460
1580,0.1,-928
1590,0.1,-624
1600,0.1,-494
1610,0.1,-942
1620,0.1,-434
1630,0.1,-444
1640,0.1,-436
1650,0.1,-434
1660,0.1,-454
1670,0.1,-924
1680,0.1,-562
1690,0.1,-438
1700,0.1,-450
1710,0.1,-936
1720,0.1,-558
1730,0.1,-668
1740,0.1,-918
1750,0.1,-422
1760,0.1,-52
1770,0.1,-426
1780,0.1,-478
1790,0.1,-502
1800,0.1,-482
1810,0.1,-472
1820,0.1,-452
1830,0.1,-680
1840,0.1,-552
1850,0.1,-552
1860,0.1,-928
1870,0.1,-440
1880,0.1,-448
1890,0.1,-940
1900,0.1,-968
1910,0.1,-452
1920,0.1,18
1930,0.1,-928
1940,0.1,-488
1950,0.1,-454
1960,0.1,-922
1970,0.1,-924
1980,0.1,-926
1990,0.1,-938
