Episode,Current_Epsilon,Win|Lose,Score,Turns
1,0.999,Lose,-446,13
2,0.998001,Lose,-549,16
3,0.997002999,Lose,-850,22
4,0.996005996001,Lose,-582,44
5,0.995009990004999,Lose,-549,16
6,0.994014980014994,Lose,-630,15
7,0.993020965034979,Lose,-900,28
8,0.9920279440699441,Lose,-720,16
9,0.9910359161258742,Lose,-630,15
10,0.9900448802097482,Lose,-378,16
11,0.9890548353295385,Lose,-3616,180
12,0.988065780494209,Lose,-639,20
13,0.9870777147137147,Lose,-464,23
14,0.986090636999001,Lose,-337,22
15,0.9851045463620021,Lose,-720,16
16,0.98411944181564,Lose,-658,16
17,0.9831353223738244,Lose,-117,15
18,0.9821521870514506,Lose,-630,15
19,0.9811700348643991,Lose,-468,21
20,0.9801888648295347,Lose,-207,16
21,0.9792086759647052,Lose,-1050,38
22,0.9782294672887405,Lose,-720,17
23,0.9772512378214517,Lose,-630,15
24,0.9762739865836303,Lose,-395,15
25,0.9752977125970467,Lose,-549,16
26,0.9743224148844496,Lose,-532,15
27,0.9733480924695651,Lose,-639,21
28,0.9723747443770956,Lose,-508,24
29,0.9714023696327185,Lose,-468,21
30,0.9704309672630859,Lose,-459,15
31,0.9694605362958227,Lose,-810,20
32,0.9684910757595269,Lose,-375,15
33,0.9675225846837673,Lose,-720,16
34,0.9665550620990835,Lose,-459,15
35,0.9655885070369844,Lose,-720,16
36,0.9646229185299474,Lose,-810,18
37,0.9636582956114175,Lose,-459,15
38,0.9626946373158061,Lose,-622,16
39,0.9617319426784903,Lose,-549,16
40,0.9607702107358118,Lose,-720,16
41,0.959809440525076,Lose,-490,21
42,0.9588496310845509,Lose,-468,21
43,0.9578907814534664,Lose,-549,16
44,0.9569328906720129,Lose,-1508,56
45,0.9559759577813409,Lose,-646,16
46,0.9550199818235596,Lose,-630,15
47,0.9540649618417361,Lose,-720,16
48,0.9531108968798944,Lose,-767,33
49,0.9521577859830145,Lose,-630,15
50,0.9512056281970315,Lose,-296,16
51,0.9502544225688344,Lose,-639,21
52,0.9493041681462656,Lose,-371,15
53,0.9483548639781193,Lose,-288,15
54,0.9474065091141411,Lose,-630,15
55,0.946459102605027,Lose,-468,19
56,0.9455126435024219,Lose,-459,15
57,0.9445671308589195,Lose,-8232,180
58,0.9436225637280606,Lose,-639,20
59,0.9426789411643326,Lose,-391,15
60,0.9417362622231683,Lose,-549,16
61,0.9407945259609451,Lose,-549,16
62,0.9398537314349842,Lose,-935,36
63,0.9389138777035492,Lose,-549,16
64,0.9379749638258457,Lose,-720,16
65,0.9370369888620198,Lose,-630,15
66,0.9360999518731578,Lose,-630,15
67,0.9351638519212846,Lose,-549,17
68,0.9342286880693633,Lose,-549,16
69,0.933294459381294,Lose,-942,39
70,0.9323611649219127,Lose,-681,23
71,0.9314288037569908,Lose,-207,16
72,0.9304973749532338,Lose,-630,15
73,0.9295668775782806,Lose,-1027,41
74,0.9286373107007023,Lose,-677,28
75,0.9277086733900016,Lose,-549,16
76,0.9267809647166116,Lose,-720,16
77,0.925854183751895,Lose,-549,16
78,0.9249283295681431,Lose,-494,21
79,0.9240034012385749,Lose,-288,15
80,0.9230793978373364,Lose,-630,15
81,0.9221563184394991,Lose,-549,17
82,0.9212341621210596,Lose,-459,15
83,0.9203129279589385,Lose,-297,21
84,0.9193926150309796,Lose,-842,22
85,0.9184732224159486,Lose,-549,16
86,0.9175547491935327,Lose,-365,14
87,0.9166371944443392,Lose,-810,20
88,0.9157205572498949,Lose,-639,19
89,0.914804836692645,Lose,-720,16
90,0.9138900318559524,Lose,-459,15
91,0.9129761418240965,Lose,-288,15
92,0.9120631656822724,Lose,-378,16
93,0.9111511025165902,Lose,-459,15
94,0.9102399514140735,Lose,-319,21
95,0.9093297114626595,Win,-5096,141
96,0.9084203817511969,Lose,-810,21
97,0.9075119613694457,Lose,-720,16
98,0.9066044494080763,Lose,-630,15
99,0.9056978449586682,Lose,-658,16
100,0.9047921471137096,Lose,-549,16
101,0.9038873549665959,Lose,-639,20
102,0.9029834676116293,Lose,-683,27
103,0.9020804841440176,Lose,-810,20
104,0.9011784036598737,Lose,-448,15
105,0.9002772252562138,Lose,-224,15
106,0.8993769480309576,Lose,-635,22
107,0.8984775710829266,Lose,-639,18
108,0.8975790935118436,Lose,-556,31
109,0.8966815144183318,Lose,-631,26
110,0.8957848329039134,Lose,-850,22
111,0.8948890480710096,Lose,-852,23
112,0.8939941590229386,Lose,-549,16
113,0.8931001648639156,Lose,-894,24
