agent,dirt_rate,performance
simple_reflective,"0,1",94
random,"0,1",8
simple_reflective,"0,1",91
random,"0,1",6
simple_reflective,"0,1",100
random,"0,1",12
simple_reflective,"0,1",105
random,"0,1",6
simple_reflective,"0,1",90
random,"0,1",6
simple_reflective,"0,1",88
random,"0,1",6
simple_reflective,"0,1",86
random,"0,1",7
simple_reflective,"0,1",97
random,"0,1",12
simple_reflective,"0,1",109
random,"0,1",7
simple_reflective,"0,1",92
random,"0,1",10
,,
simple_reflective,"0,2",184
random,"0,2",23
simple_reflective,"0,2",183
random,"0,2",21
simple_reflective,"0,2",157
random,"0,2",22
simple_reflective,"0,2",145
random,"0,2",13
simple_reflective,"0,2",178
random,"0,2",30
simple_reflective,"0,2",170
random,"0,2",19
simple_reflective,"0,2",177
random,"0,2",25
simple_reflective,"0,2",149
random,"0,2",21
simple_reflective,"0,2",175
random,"0,2",23
simple_reflective,"0,2",170
random,"0,2",20
,,
simple_reflective,"0,4",283
random,"0,4",35
simple_reflective,"0,4",284
random,"0,4",59
simple_reflective,"0,4",288
random,"0,4",37
simple_reflective,"0,4",297
random,"0,4",29
simple_reflective,"0,4",289
random,"0,4",31
simple_reflective,"0,4",290
random,"0,4",38
simple_reflective,"0,4",286
random,"0,4",32
simple_reflective,"0,4",287
random,"0,4",44
simple_reflective,"0,4",107
random,"0,4",47
simple_reflective,"0,4",284
random,"0,4",41
,,
simple_reflective,"0,8",454
random,"0,8",90
simple_reflective,"0,8",448
random,"0,8",93
simple_reflective,"0,8",158
random,"0,8",83
simple_reflective,"0,8",440
random,"0,8",61
simple_reflective,"0,8",454
random,"0,8",73
simple_reflective,"0,8",451
random,"0,8",74
simple_reflective,"0,8",451
random,"0,8",83
simple_reflective,"0,8",438
random,"0,8",77
simple_reflective,"0,8",448
random,"0,8",78
simple_reflective,"0,8",447
random,"0,8",76
