algorithm_name,h,n_states,time_elapsed
hillClimbing,0,2,0.0004
simulatedAnnealing,0,18,0.0005
genetic,0,3,0.0001
hillClimbing,0,3,0.0007
simulatedAnnealing,0,9,0.0003
genetic,0,3,0.0001
hillClimbing,0,2,0.0007
simulatedAnnealing,0,39,0.0427
genetic,0,74,0.001
hillClimbing,0,4,0.0009
simulatedAnnealing,0,23,0.0012
genetic,0,15,0.0002
hillClimbing,0,4,0.0009
simulatedAnnealing,0,26,0.0018
genetic,0,3,0.0001
hillClimbing,0,4,0.0021
simulatedAnnealing,0,26,0.0024
genetic,0,12,0.0002
hillClimbing,0,3,0.0016
simulatedAnnealing,0,23,0.0048
genetic,0,1,0.0001
hillClimbing,0,3,0.0021
simulatedAnnealing,0,18,0.0005
genetic,0,10,0.0002
hillClimbing,0,3,0.0012
simulatedAnnealing,0,12,0.0009
genetic,0,7,0.0002
hillClimbing,0,3,0.001
simulatedAnnealing,0,16,0.0004
genetic,0,24,0.0004
hillClimbing,0,4,0.0015
simulatedAnnealing,0,19,0.0111
genetic,0,7,0.0002
hillClimbing,0,3,0.0006
simulatedAnnealing,0,28,0.0103
genetic,0,1,0.0001
hillClimbing,0,2,0.0011
simulatedAnnealing,0,22,0.0012
genetic,0,6,0.0002
hillClimbing,0,3,0.0009
simulatedAnnealing,0,25,0.0084
genetic,0,36,0.0011
hillClimbing,0,4,0.0015
simulatedAnnealing,0,26,0.005
genetic,0,1,0.0
hillClimbing,0,2,0.0006
simulatedAnnealing,0,6,0.0001
genetic,0,39,0.0011
hillClimbing,0,4,0.0029
simulatedAnnealing,0,15,0.0004
genetic,0,33,0.0011
hillClimbing,0,3,0.0007
simulatedAnnealing,0,23,0.0008
genetic,0,3,0.0001
hillClimbing,0,3,0.0012
simulatedAnnealing,0,61,0.0473
genetic,0,31,0.0005
hillClimbing,0,4,0.0013
simulatedAnnealing,0,15,0.0005
genetic,0,39,0.0007
hillClimbing,0,4,0.0014
simulatedAnnealing,0,46,0.015
genetic,0,5,0.0001
hillClimbing,0,3,0.001
simulatedAnnealing,0,42,0.0266
genetic,0,19,0.0005
hillClimbing,0,4,0.0019
simulatedAnnealing,0,22,0.0025
genetic,0,28,0.0008
hillClimbing,0,4,0.0014
simulatedAnnealing,0,20,0.0008
genetic,0,11,0.0003
hillClimbing,0,3,0.0017
simulatedAnnealing,0,23,0.0013
genetic,0,23,0.0006
hillClimbing,0,2,0.0007
simulatedAnnealing,0,17,0.0006
genetic,0,3,0.0001
hillClimbing,0,3,0.0016
simulatedAnnealing,0,41,0.0464
genetic,0,14,0.0003
hillClimbing,0,4,0.0021
simulatedAnnealing,0,29,0.0099
genetic,0,7,0.0003
hillClimbing,0,2,0.0006
simulatedAnnealing,0,24,0.009
genetic,0,4,0.0002
hillClimbing,0,2,0.0006
simulatedAnnealing,0,23,0.001
genetic,0,12,0.0004
