"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"18500",28161,"Tipa","22/02/2011 09:26","Alto (> 8 mts)",236,"Grande",-68.8478979994,-32.8920750106,2,"Barrio Civico",2366816.36021,"0","alto"
"11050",17054,"Morera","16/08/2011 09:59","Alto (> 8 mts)",158,"Grande",-68.8373145647,-32.8644046885,4,"Cuarta Oeste",1173332.70145,"0","medio"
"12953",19873,"Morera","29/06/2011 10:56","Alto (> 8 mts)",167,"Grande",-68.8344161199,-32.8624095823,4,"Cuarta Oeste",1173332.70145,"0","alto"
"23217",35196,"Fresno europeo","23/03/2011 12:34","Medio (4 - 8 mts)",84,"Grande",-68.8524388037,-32.8824724712,1,"Parque Central",1655357.93265,"0","medio"
"29197",44277,"Fresno europeo","21/10/2011 16:56","Alto (> 8 mts)",180,"Grande",-68.8360575362,-32.8798074972,1,"Parque Central",1655357.93265,"0","alto"
"16972",25851,"Caducifolio","03/02/2011 17:34","Muy bajo (1 - 2 mts)",8,"Chico",-68.8403220311,-32.9019177511,2,"Barrio Civico",2366816.36021,"0","bajo"
"20844",31667,"Fresno europeo","14/06/2011 10:38","Alto (> 8 mts)",74,"Grande",-68.8589119902,-32.8892053938,5,"Residencial Sur",2423808.92355,"0","bajo"
"24646",37305,"Paraiso","17/03/2011 10:10","Alto (> 8 mts)",148,"Grande",-68.8583125266,-32.8755716302,7,"Residencial Parque",1786336.08966,"0","medio"
"11661",17969,"Morera","01/08/2011 09:36","Bajo (2 - 4 mts)",12,"Chico",-68.8398287432,-32.8672131886,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"19381",29470,"Morera","22/03/2011 08:23","Alto (> 8 mts)",170,"Grande",-68.8441625283,-32.8932702187,2,"Barrio Civico",2366816.36021,"0","alto"
"24712",37407,"Paraiso","03/01/2011 12:15","Alto (> 8 mts)",170,"Grande",-68.8568389168,-32.8717715443,6,"Residencial Norte",2694682.37982,"0","alto"
"10287",15876,"Acer","28/11/2011 20:51","Medio (4 - 8 mts)",50,"Mediano",-68.8723206132,-32.8768540504,7,"Residencial Parque",1786336.08966,"0","bajo"
"10911",16837,"Morera","08/08/2011 13:17","Alto (> 8 mts)",145,"Grande",-68.8388364729,-32.8642711786,4,"Cuarta Oeste",1173332.70145,"0","medio"
"7988",12178,"Morera","19/01/2011 12:31","Medio (4 - 8 mts)",165,"Grande",-68.8474080533,-32.8683679606,6,"Residencial Norte",2694682.37982,"0","alto"
"11004",16981,"Acer","15/08/2011 11:45","Muy bajo (1 - 2 mts)",5,"Chico",-68.8382130077,-32.8650077369,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"13676",20930,"Morera","24/05/2011 12:37","Medio (4 - 8 mts)",60,"Mediano",-68.860762474,-32.8951516887,5,"Residencial Sur",2423808.92355,"0","bajo"
"13515",20695,"Paraiso","31/05/2011 11:55","Alto (> 8 mts)",155,"Grande",-68.8616538715,-32.8980225798,5,"Residencial Sur",2423808.92355,"0","medio"
"19741",30004,"Fresno europeo","28/04/2011 12:38","Alto (> 8 mts)",140,"Grande",-68.8413192333,-32.8868533228,3,"Parque O'Higgins",1531146.02653,"1","medio"
"5629",8637,"Ligustro","01/02/2011 12:17","Muy bajo (1 - 2 mts)",15,"Chico",-68.8385027807,-32.9032324377,2,"Barrio Civico",2366816.36021,"0","bajo"
"8312",12688,"Perenne","19/01/2011 13:07","Bajo (2 - 4 mts)",10,"Chico",-68.848646564,-32.8631388237,6,"Residencial Norte",2694682.37982,"0","bajo"
"25404",38415,"Paraiso","04/11/2010 10:55","Alto (> 8 mts)",250,"Grande",-68.8518661237,-32.8702633133,6,"Residencial Norte",2694682.37982,"0","muy alto"
"13001",19946,"Morera","08/08/2011 09:17","Alto (> 8 mts)",165,"Grande",-68.8335059473,-32.8636875507,4,"Cuarta Oeste",1173332.70145,"0","alto"
"30258",45910,"Morera","25/08/2011 12:42","Medio (4 - 8 mts)",230,"Grande",-68.8195565238,-32.8687990898,4,"Cuarta Este Área Fundacional",1822015.85685,"1","alto"
"20321",30872,"Fresno europeo","15/02/2011 13:31","Bajo (2 - 4 mts)",30,"Mediano",-68.8550617568,-32.8654010284,6,"Residencial Norte",2694682.37982,"0","bajo"
"31256",47425,"Morera","22/09/2011 09:34","Alto (> 8 mts)",184,"Grande",-68.8276998341,-32.8746308244,4,"Cuarta Este Área Fundacional",1822015.85685,"1","alto"
"21554",32701,"Acacia visco","18/05/2011 10:58","Medio (4 - 8 mts)",120,"Grande",-68.8510528742,-32.8864408901,5,"Residencial Sur",2423808.92355,"0","medio"
"20667",31378,"Fresno europeo","23/05/2011 13:12","Medio (4 - 8 mts)",140,"Grande",-68.8512050013,-32.8840430204,1,"Parque Central",1655357.93265,"0","medio"
"22243",33740,"Acacia SP","11/05/2011 11:33","Alto (> 8 mts)",142,"Grande",-68.8588899208,-32.8864074183,5,"Residencial Sur",2423808.92355,"0","medio"
"26442",39979,"Morera","25/04/2011 10:06","Medio (4 - 8 mts)",150,"Grande",-68.8453087591,-32.8777882171,1,"Parque Central",1655357.93265,"0","medio"
"16479",25071,"Fresno europeo","14/02/2011 18:19","Medio (4 - 8 mts)",122,"Grande",-68.8361534698,-32.8969924884,2,"Barrio Civico",2366816.36021,"0","medio"
"20380",30961,"Fresno europeo","10/02/2011 13:32","Muy bajo (1 - 2 mts)",8,"Chico",-68.8551832954,-32.8637140764,6,"Residencial Norte",2694682.37982,"0","bajo"
"26097",39448,"Paraiso","11/11/2010 10:11","Alto (> 8 mts)",140,"Grande",-68.854674239,-32.8694042263,6,"Residencial Norte",2694682.37982,"0","medio"
"20563",31225,"Ailanthus","04/02/2011 12:40","Alto (> 8 mts)",144,"Grande",-68.8539786326,-32.8648493452,6,"Residencial Norte",2694682.37982,"0","medio"
"11898",18314,"Morera","03/08/2011 09:02","Alto (> 8 mts)",140,"Grande",-68.8377042679,-32.8685642647,4,"Cuarta Oeste",1173332.70145,"1","medio"
